Date,Avg Temp,Rain %,Wind,Humidity,UV Index,Sunrise,Sunset,Overview
Sat 24,21°,4%,WSW 18 km/h,83%,0 of 11,22:16,10:20,Mostly cloudy. Low 21°C. Winds WSW at 15 to 25 km/h.
Sun 25,29°,7%,WSW 27 km/h,70%,Extreme,06:08,18:35,Mostly cloudy. High 29°C. Winds WSW at 15 to 30 km/h.
Mon 26,29°,24%,WSW 25 km/h,70%,9 of 11,06:08,18:34,Mostly cloudy. High 29°C. Winds WSW at 15 to 30 km/h.
Tue 27,29°,47%,WSW 22 km/h,70%,9 of 11,06:08,18:33,Thunderstorms developing in the afternoon. Storms could contain frequent lightning. High 29°C. Winds WSW at 15 to 30 km/h. Chance of rain 50%.
Wed 28,29°,57%,WSW 21 km/h,71%,Extreme,06:08,18:33,Thunderstorms developing in the afternoon. High 29°C. Winds WSW at 15 to 25 km/h. Chance of rain 60%.
Thu 29,29°,69%,WSW 21 km/h,73%,Extreme,06:08,18:32,Thunderstorms developing in the afternoon. High 29°C. Winds WSW at 15 to 30 km/h. Chance of rain 70%.
Fri 30,29°,65%,WSW 21 km/h,72%,9 of 11,06:08,18:32,Thunderstorms developing in the afternoon. High 29°C. Winds WSW at 15 to 25 km/h. Chance of rain 70%.
Sat 31,28°,58%,W 20 km/h,72%,Extreme,06:08,18:31,Thunderstorms developing in the afternoon. High 28°C. Winds W at 15 to 25 km/h. Chance of rain 60%.
Sun 01,29°,15%,W 20 km/h,72%,Extreme,06:08,18:30,Mostly cloudy. High 29°C. Winds W at 15 to 25 km/h.
Mon 02,29°,60%,W 19 km/h,72%,Extreme,06:08,18:30,Thunderstorms developing in the afternoon. High 29°C. Winds W at 15 to 25 km/h. Chance of rain 60%.
Tue 03,29°,15%,W 21 km/h,72%,Extreme,06:08,18:29,Mostly cloudy. High 29°C. Winds W at 15 to 30 km/h.
Wed 04,29°,12%,W 22 km/h,71%,Extreme,06:08,18:28,Mostly cloudy. High 29°C. Winds W at 15 to 30 km/h.
Thu 05,29°,14%,W 21 km/h,70%,Extreme,06:08,18:27,Mostly cloudy. High 29°C. Winds W at 15 to 30 km/h.
Fri 06,29°,10%,W 19 km/h,71%,Extreme,06:08,18:27,Mostly cloudy. High 29°C. Winds W at 15 to 25 km/h.
Sat 07,29°,13%,WSW 19 km/h,70%,Extreme,06:08,18:26,Mostly cloudy. High 29°C. Winds WSW at 15 to 25 km/h.
